"LocalFile","LocalPath","BestTokenID","BestTokenIDPadded","BestDistance","BestPixelMAE","SecondBestTokenID","SecondBestDistance","SecondBestPixelMAE","PixelMAEGap","ThirdBestTokenID","ThirdBestPixelMAE","Confidence","SuggestedFilename","ReferenceImagePath","MetadataName","OpenSeaURL","Notes"
"RE-001811.jpg","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\RE-001811.jpg","710","00710","0","0.6475","702","1","16.2822","15.6347","384","20.6768","HIGH","Light-Cult-Crypto-Club-00710.jpg","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-162610\reference-images\Light-Cult-Crypto-Club-00710.png","","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/710","Strong RGB visual match. Still review before renaming."
"RE-001812.jpg","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\RE-001812.jpg","142","00142","2","6.9743","212","1","8.8691","1.8948","431","10.4661","REVIEW","Light-Cult-Crypto-Club-00142.jpg","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-162610\reference-images\Light-Cult-Crypto-Club-00142.png","","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/142","Possible match. Review visually in review-gallery.html."
"RE-001813.jpg","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\RE-001813.jpg","573","00573","2","7.6318","768","4","14.985","7.3532","384","15.3532","REVIEW","Light-Cult-Crypto-Club-00573.jpg","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-162610\reference-images\Light-Cult-Crypto-Club-00573.png","","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/573","Possible match. Review visually in review-gallery.html."
"RE-001814.jpg","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\RE-001814.jpg","171","00171","0","7.6976","201","0","19.1243","11.4267","277","19.7129","REVIEW","Light-Cult-Crypto-Club-00171.jpg","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-162610\reference-images\Light-Cult-Crypto-Club-00171.png","","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/171","Possible match. Review visually in review-gallery.html."
"RE-001815.jpg","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\RE-001815.jpg","250","00250","4","7.1598","535","6","13.0645","5.9047","289","13.1647","REVIEW","Light-Cult-Crypto-Club-00250.jpg","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-162610\reference-images\Light-Cult-Crypto-Club-00250.png","","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/250","Possible match. Review visually in review-gallery.html."
"RE-001816.jpg","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\RE-001816.jpg","268","00268","0","0.5872","716","10","17.487","16.8998","830","18.8851","HIGH","Light-Cult-Crypto-Club-00268.jpg","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-162610\reference-images\Light-Cult-Crypto-Club-00268.png","","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/268","Strong RGB visual match. Still review before renaming."
"RE-001817.jpg","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\RE-001817.jpg","795","00795","4","15.4215","419","6","19.6286","4.2071","840","22.5143","REVIEW","Light-Cult-Crypto-Club-00795.jpg","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-162610\reference-images\Light-Cult-Crypto-Club-00795.png","","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/795","Possible match. Review visually in review-gallery.html."
"RE-001818.jpg","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\RE-001818.jpg","126","00126","4","20.5111","362","6","21.3294","0.8183","673","21.7207","REVIEW","Light-Cult-Crypto-Club-00126.jpg","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-162610\reference-images\Light-Cult-Crypto-Club-00126.png","","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/126","Possible match. Review visually in review-gallery.html."
"RE-001819.jpg","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\RE-001819.jpg","59","00059","8","11.8226","628","10","12.8434","1.0208","780","17.7865","REVIEW","Light-Cult-Crypto-Club-00059.jpg","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-162610\reference-images\Light-Cult-Crypto-Club-00059.png","","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/59","Possible match. Review visually in review-gallery.html."
"RE-001820.jpg","D:\github\ron-english-light-cult-0001-1000\images\0001-0100\RE-001820.jpg","863","00863","5","11.4124","434","6","23.0827","11.6703","131","23.5189","REVIEW","Light-Cult-Crypto-Club-00863.jpg","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-162610\reference-images\Light-Cult-Crypto-Club-00863.png","","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/863","Possible match. Review visually in review-gallery.html."
